,id,event_id,type_id,event_name,period_id,min,sec,team_id,outcome,x,y,timestamp,last_modified,version,player_id,keypass,competition_id,game_id,home_team_id,home_team_name,away_team_id,away_team_name,competition_name,season_id,276,328,388,391,Assisted,Big Chance,Blocked x co-ordinate,Blocked y co-ordinate,Box-centre,Close left,From corner,GK X Coordinate,GK Y Coordinate,Goal mouth y co-ordinate,Goal mouth z co-ordinate,Head,High right,Individual Play,Intentional assist,Left,Not past goal line,Out of box-centre,Regular play,Related event ID,Right,Right footed,Set piece,Standing,Swerve Right,Throw-in set piece,Volley,Weak,Zone,assist,Box-left,High,Left footed,Close right,Free kick,Strong,Close high,35+ right,Close right and high,Swerve Left,35+ centre,Box-right,Box-deep left,High left,Small box-right,233,Fast break,Keeper Saved,314,Close left and high,Small box-left,Small box-centre,Out of box-right,389,Out of box-deep right,Other body part,35+ left,Out of box-left,Out of box-deep left,Box-deep right
0,2267384275,70,13,Miss,1,7,1,6644,1,91.0,48.0,2021-02-21T15:08:00.961,2021-04-19T18:39:33,1618853972523,448343,-,99,2133340,2847,Rio Ave,6644,FC Famalicão,Portuguese Primeira Liga,2020,sim,sim,sim,-,sim,-,95.2,100,sim,-,sim,98.8,48.7,99.8,1.4,sim,-,-,sim,sim,sim,-,-,68,-,-,-,-,-,-,-,-,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2267391983,129,13,Miss,1,15,13,6644,1,73.6,62.0,2021-02-21T15:16:12.803,2021-04-19T18:48:32,1618854512120,482396,-,99,2133340,2847,Rio Ave,6644,FC Famalicão,Portuguese Primeira Liga,2020,-,sim,-,-,sim,-,83.8,59.0,-,sim,-,98.5,50.5,58.5,8.3,-,-,sim,sim,-,sim,sim,-,128,-,sim,sim,sim,-,-,-,-,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2267415427,343,13,Miss,1,44,48,6644,1,75.8,57.9,2021-02-21T15:45:47.312,2021-04-19T19:06:53,1618855613213,166683,-,99,2133340,2847,Rio Ave,6644,FC Famalicão,Portuguese Primeira Liga,2020,-,sim,-,-,sim,sim,98.2,56.5,-,sim,-,79.4,56.7,58.0,6.9,-,-,sim,sim,-,sim,sim,sim,342,-,sim,-,sim,-,-,sim,sim,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2267445239,652,13,Miss,2,80,28,6644,1,88.8,39.6,2021-02-21T16:39:03.347,2021-04-19T19:31:00,1618857059708,210977,-,99,2133340,2847,Rio Ave,6644,FC Famalicão,Portuguese Primeira Liga,2020,-,sim,sim,-,sim,-,-,-,sim,-,sim,99.5,48.0,35.1,61.1,sim,sim,-,sim,-,-,-,-,651,-,-,-,-,-,-,-,-,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2267452271,807,13,Miss,2,92,52,2847,1,77.2,32.8,2021-02-21T16:51:27.162,2021-04-19T19:43:03,1618857783687,171349,-,99,2133340,2847,Rio Ave,6644,FC Famalicão,Portuguese Primeira Liga,2020,-,sim,sim,sim,-,-,-,-,-,-,-,99.0,49.3,31.4,23.6,-,-,sim,-,-,-,sim,-,-,sim,sim,-,-,sim,sim,sim,-,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2230819471,57,13,Miss,1,6,31,255,1,85.9,37.0,2020-11-07T20:37:57.073,2020-11-10T07:01:36,1604991697562,107798,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,-,-,,sim,,-,-,sim,-,,98.5,47.5,60.5,4.2,-,-,-,sim,sim,-,-,sim,56,-,sim,-,sim,,,-,,Center,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2230823939,141,13,Miss,1,17,13,255,1,99.0,60.4,2020-11-07T20:48:38.419,2020-11-10T05:58:14,1604987895002,89747,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,sim,-,,sim,,-,-,-,sim,,99.7,54.2,57.0,22.2,-,-,-,sim,-,-,-,-,140,-,-,sim,sim,,,sim,,Center,-,-,-,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2230824305,150,13,Miss,1,18,16,371,1,78.2,73.2,2020-11-07T20:49:41.363,2020-11-10T06:01:00,1604988060498,14938,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,-,-,,sim,,-,-,-,-,,1.1,47.5,40.3,65.3,-,sim,sim,-,-,-,sim,sim,148,-,sim,-,sim,,,-,,Center,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2230827511,229,13,Miss,1,27,37,371,1,86.7,70.6,2020-11-07T20:59:03.013,2020-11-10T07:17:15,1604992636092,174592,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,-,-,,sim,,-,-,-,-,,1.8,47.8,32.1,4.2,-,-,sim,-,-,-,-,sim,228,sim,-,-,sim,,,-,,Center,-,sim,-,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2230830773,289,13,Miss,1,34,41,371,1,91.7,39.8,2020-11-07T21:06:06.468,2020-11-10T06:02:13,1604988132488,457992,-,99,2133227,371,Vitória Guimarães,255,Sporting CP,Portuguese Primeira Liga,2020,,sim,-,,-,,93.3,50,sim,-,,1.9,52.2,71.4,16.7,-,-,sim,-,sim,sim,-,-,-,-,sim,sim,sim,,,-,,Center,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
